Real Production;Accumulated Real Production;Scheduled Production;Accumulated Scheduled Production;Anual Capacity;Weekly Capacity;Waste Kg;;
 -   ;; -   ;; 8,000,000 ; -   ; -   ;;
 -   ;; -   ;; 8,000,000 ; -   ; -   ;;
 -   ;; -   ;; 8,000,000 ; -   ; -   ;;
 -   ;; -   ;; 8,000,000 ; -   ; -   ;;
 -   ;; -   ;; 8,000,000 ; -   ; -   ;;
 3,144 ; 3,144 ; 50,000 ; 50,000 ; 8,000,000 ; 228,571 ; 1,476 ;;
 39,188 ; 42,332 ; 50,000 ; 100,000 ; 8,000,000 ; 457,143 ; 12,043 ;;
 79,032 ; 121,364 ; 50,000 ; 150,000 ; 8,000,000 ; 685,714 ; 22,995 ;;
 75,292 ; 196,656 ; 50,000 ; 200,000 ; 8,000,000 ; 914,286 ; 21,968 ;;
 84,921 ; 281,576 ; 75,000 ; 275,000 ; 8,000,000 ; 1,142,857 ; 24,179 ;;
 47,956 ; 329,532 ; 70,000 ; 345,000 ; 8,000,000 ; 1,371,429 ; 13,221 ;;
 62,564 ; 392,096 ; 100,000 ; 445,000 ; 8,000,000 ; 1,600,000 ; 16,540 ;;
 105,140 ; 497,236 ; 100,000 ; 545,000 ; 8,000,000 ; 1,828,571 ; 28,198 ;;
 72,826 ; 570,062 ; 120,000 ; 665,000 ; 8,000,000 ; 2,057,143 ; 19,556 ;;
 122,932 ; 692,994 ; 120,000 ; 785,000 ; 8,000,000 ; 2,285,714 ; 32,485 ;;
 148,423 ; 841,417 ; 200,000 ; 985,000 ; 8,000,000 ; 2,514,286 ; 61,207 ;;
 240,080 ; 1,081,497 ; 250,000 ; 1,235,000 ; 8,000,000 ; 2,742,857 ; 84,987 ;;
 258,644 ; 1,340,141 ; 250,000 ; 1,485,000 ; 8,000,000 ; 2,971,429 ; 74,271 ;;
 293,688 ; 1,633,829 ; 250,000 ; 1,735,000 ; 8,000,000 ; 3,200,000 ; 83,719 ;;
 226,627 ; 1,860,456 ; 280,480 ; 2,015,480 ; 8,000,000 ; 3,428,571 ; 70,227 ;;
 245,469 ; 2,105,925 ; 280,480 ; 2,295,960 ; 8,000,000 ; 3,657,143 ; 75,073 ;;
 245,635 ; 2,351,560 ; 280,480 ; 2,576,440 ; 8,000,000 ; 3,885,714 ; 77,723 ;;
 223,204 ; 2,574,764 ; 280,480 ; 2,856,920 ; 8,000,000 ; 4,114,286 ; 70,069 ;;
 238,764 ; 2,813,527 ; 300,000 ; 3,156,920 ; 8,000,000 ; 4,342,857 ; 89,477 ;;
 244,222 ; 3,057,750 ; 277,072 ; 3,433,992 ; 8,000,000 ; 4,571,429 ; 80,994 ;;
 186,965 ; 3,244,714 ; 249,684 ; 3,683,676 ; 8,000,000 ; 4,800,000 ; 57,300 ;;
 226,053 ; 3,470,767 ; 230,000 ; 3,913,676 ; 8,000,000 ; 5,028,571 ; 67,838 ;;
 173,879 ; 3,644,646 ; 250,000 ; 4,163,676 ; 8,000,000 ; 5,257,143 ; 53,254 ;;
 174,742 ; 3,819,388 ; 250,000 ; 4,413,676 ; 8,000,000 ; 5,485,714 ; 54,528 ;;
 200,706 ; 4,020,094 ; 250,000 ; 4,663,676 ; 8,000,000 ; 5,714,286 ; 60,102 ;;
 171,902 ; 4,191,995 ; 250,000 ; 4,913,676 ; 8,000,000 ; 5,942,857 ; 53,433 ;;
 174,492 ; 4,366,487 ; 250,000 ; 5,163,676 ; 8,000,000 ; 6,171,429 ; 59,456 ;;
 159,718 ; 4,526,206 ; 250,000 ; 5,413,676 ; 8,000,000 ; 6,400,000 ; 55,491 ;;
 92,283 ; 4,618,489 ; 152,445 ; 5,566,121 ; 8,000,000 ; 6,628,571 ; 48,519 ;;
 104,145 ; 4,722,633 ; 111,000 ; 5,677,121 ; 8,000,000 ; 6,857,143 ; 46,404 ;;
 151,626 ; 4,874,260 ; 102,302 ; 5,779,423 ; 8,000,000 ; 7,085,714 ; 54,669 ;;
 99,545 ; 4,973,805 ; 96,000 ; 5,875,423 ; 8,000,000 ; 7,314,286 ; 25,752 ;;
 118,128 ; 5,091,933 ; 87,296 ; 5,962,719 ; 8,000,000 ; 7,542,857 ; 28,740 ;;
 119,740 ; 5,211,673 ; 87,296 ; 6,050,015 ; 8,000,000 ; 7,771,429 ; 32,153 ;;
 69,264 ; 5,280,937 ; 87,296 ; 6,137,311 ; 8,000,000 ; 8,000,000 ; 19,369 ;;
 -   ; 5,280,937 ;;;;; -   ;;
 -   ; 5,280,937 ;;;;; -   ;;
 -   ; 5,280,937 ;;;;; -   ;;
 -   ; 5,280,937 ;;;;; -   ;;
 -   ; 5,280,937 ;;;;; -   ;;
 -   ; 5,280,937 ;;;;; -   ;;
 -   ; 5,280,937 ;;;;; -   ;;
 -   ; 5,280,937 ;;;;; -   ;;
 -   ; 5,280,937 ;;;;; -   ;;
 -   ; 5,280,937 ;;;;; -   ;;
 -   ; 5,280,937 ;;;;; -   ;;
 -   ; 5,280,937 ;;;;; -   ;;
